*Parameters
ProblemName RBWQN30A120C90W2MM_S7984
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 30
num_arcs 120
num_commodities 90
seed_num 7984
arc_span 2
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 4 6 1.000 616 544 23
2 16 26 1.000 755 788 15
3 23 30 1.000 518 659 16
4 18 23 1.000 546 799 21
5 13 18 1.000 897 681 18
6 22 28 1.000 943 1057 24
7 5 25 1.000 698 562 15
8 15 6 1.000 659 904 23
9 4 7 1.000 444 626 22
10 27 20 1.000 583 736 25
11 24 29 1.000 504 563 20
12 9 4 1.000 688 633 22
13 16 29 1.000 649 617 23
14 30 6 1.000 777 603 17
15 27 26 1.000 795 818 22
16 10 6 1.000 696 563 16
17 2 12 1.000 702 793 21
18 1 29 1.000 630 558 22
19 1 9 1.000 857 694 25
20 6 24 1.000 977 761 20
21 24 7 1.000 549 511 19
22 16 21 1.000 662 707 22
23 23 22 1.000 762 717 25
24 8 18 1.000 802 699 18
25 25 10 1.000 593 662 22
26 19 13 1.000 692 749 24
27 6 15 1.000 915 902 21
28 12 17 1.000 662 636 22
29 3 12 1.000 875 910 25
30 20 26 1.000 949 1113 16
31 3 25 1.000 906 650 16
32 24 15 1.000 721 573 18
33 22 3 1.000 882 1154 15
34 6 25 1.000 831 703 15
35 6 5 1.000 133 141 25
36 21 6 1.000 823 861 20
37 12 5 1.000 539 767 16
38 28 10 1.000 666 637 16
39 29 20 1.000 776 778 25
40 7 29 1.000 653 546 16
41 12 11 1.000 832 761 19
42 5 26 1.000 918 774 21
43 11 8 1.000 578 611 21
44 23 10 1.000 674 569 22
45 11 18 1.000 799 701 21
46 24 18 1.000 799 654 25
47 30 8 1.000 564 787 24
48 22 24 1.000 1036 1005 23
49 26 14 1.000 832 688 20
50 2 26 1.000 984 942 22
51 22 15 1.000 1101 1048 21
52 20 21 1.000 1103 730 21
53 6 20 1.000 837 753 18
54 2 23 1.000 690 585 19
55 15 19 1.000 900 813 25
56 21 5 1.000 975 771 21
57 24 11 1.000 620 711 19
58 29 16 1.000 831 852 19
59 23 11 1.000 752 649 21
60 30 7 1.000 715 658 24
61 9 25 1.000 502 757 25
62 5 3 1.000 711 755 18
63 1 17 1.000 570 656 20
64 19 6 1.000 766 702 22
65 18 29 1.000 589 727 24
66 24 9 1.000 684 653 18
67 7 3 1.000 670 854 25
68 3 17 1.000 905 788 23
69 1 28 1.000 634 587 22
70 30 5 1.000 639 737 16
71 11 29 1.000 592 466 18
72 8 25 1.000 599 700 22
73 7 2 1.000 756 679 19
74 14 27 1.000 651 685 15
75 10 5 1.000 639 696 19
76 17 25 1.000 710 621 16
77 17 3 1.000 756 685 17
78 1 3 1.000 657 763 20
79 8 5 1.000 636 669 16
80 12 23 1.000 787 698 18
81 16 7 1.000 639 498 18
82 5 10 1.000 691 617 16
83 1 16 1.000 813 712 18
84 15 12 1.000 816 893 21
85 25 18 1.000 641 832 22
86 2 6 1.000 757 693 22
87 6 28 1.000 782 836 24
88 8 29 1.000 510 588 17
89 7 20 1.000 580 724 25
90 10 23 1.000 534 688 17
*Arcs: Index fromNode toNode fixedCost variableCost Weight(s)
1 7 30 30 5 119 119
2 7 29 48 6 104 78
3 30 10 42 6 158 203
4 30 4 11 2 278 276
5 4 8 51 9 127 57
6 8 25 51 9 179 106
7 7 23 49 7 166 149
8 4 11 45 3 213 57
9 7 24 54 7 136 119
10 8 1 50 2 153 175
11 25 20 68 12 96 144
12 29 2 61 6 197 229
13 8 17 53 9 237 234
14 10 22 73 12 128 83
15 7 19 24 2 274 140
16 17 27 9 1 241 175
17 23 13 85 12 38 21
18 24 16 64 7 142 215
19 13 9 66 6 152 137
20 25 21 46 3 242 226
21 27 12 53 8 50 215
22 19 14 38 4 187 199
23 10 28 81 10 124 37
24 14 15 54 6 78 187
25 17 26 39 4 238 252
26 9 3 56 10 225 127
27 9 5 34 3 226 125
28 15 6 91 12 117 119
29 15 18 47 9 145 64
30 30 7 21 3 264 105
31 29 7 45 8 149 154
32 10 30 43 8 236 189
33 4 10 64 8 121 177
34 8 4 28 6 114 220
35 25 4 46 8 105 162
36 23 7 53 6 142 197
37 11 25 29 3 155 133
38 24 25 67 10 84 149
39 1 25 45 5 65 95
40 20 10 44 4 234 198
41 2 29 74 12 158 81
42 17 20 56 9 180 136
43 22 20 57 9 69 145
44 19 30 67 12 222 222
45 27 8 56 7 214 169
46 13 8 53 5 191 168
47 16 4 51 5 162 200
48 9 2 27 6 226 215
49 21 1 31 6 131 252
50 12 23 35 2 96 100
51 14 23 55 11 135 181
52 28 29 20 4 271 108
53 15 12 53 7 84 172
54 26 25 66 10 61 190
55 3 10 8 2 238 226
56 5 7 60 8 145 105
57 6 5 80 15 133 141
58 18 20 86 8 24 167
59 14 10 58 5 128 117
60 30 6 30 2 151 219
61 4 28 72 10 106 113
62 4 7 36 7 83 78
63 5 10 16 2 186 253
64 16 8 53 1 202 211
65 27 24 33 7 137 242
66 11 16 90 2 19 73
67 25 23 43 3 142 185
68 19 21 24 5 257 166
69 12 18 33 5 191 91
70 8 28 57 2 47 187
71 17 25 51 9 142 248
72 10 17 91 2 32 117
73 24 1 21 3 86 247
74 28 7 50 1 214 189
75 26 28 75 13 175 125
76 11 21 32 4 76 76
77 3 29 64 6 228 190
78 4 5 73 12 31 89
79 19 24 64 6 201 210
80 7 25 33 6 165 219
81 13 30 28 1 95 121
82 9 14 56 6 46 51
83 2 14 33 1 189 226
84 25 12 36 7 223 88
85 25 8 70 10 119 38
86 18 11 52 6 55 190
87 26 10 27 2 228 133
88 24 4 37 5 111 175
89 7 6 47 7 139 246
90 17 7 24 1 195 167
91 11 30 72 5 123 85
92 2 7 45 3 204 227
93 24 27 62 8 139 192
94 24 19 22 5 221 171
95 9 27 74 10 60 154
96 24 3 17 1 172 167
97 17 21 55 11 203 55
98 13 27 17 2 244 181
99 30 23 24 4 264 231
100 16 28 56 5 104 104
101 11 28 77 14 148 130
102 23 8 74 9 170 199
103 17 29 52 7 147 190
104 24 7 60 3 175 93
105 4 2 46 6 179 112
106 2 6 51 3 210 196
107 5 21 21 4 174 218
108 30 3 62 8 132 231
109 2 26 35 4 209 203
110 27 23 41 5 80 138
111 16 29 53 7 56 98
112 23 17 67 11 58 56
113 13 6 37 5 265 109
114 26 13 39 5 150 121
115 28 23 49 3 136 92
116 10 12 45 8 128 237
117 5 30 81 3 182 104
118 4 15 38 1 149 85
119 1 10 56 6 148 119
120 12 27 29 3 211 233
