*Parameters
ProblemName RBWQN50A150C150W2MM_S3118
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 50
num_arcs 150
num_commodities 150
seed_num 3118
arc_span 1
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 27 33 1.000 982 799 19
2 14 31 1.000 798 695 15
3 7 5 1.000 708 908 23
4 40 31 1.000 677 929 22
5 21 1 1.000 827 733 18
6 7 38 1.000 701 874 22
7 31 14 1.000 1246 842 20
8 21 11 1.000 1011 1181 15
9 39 20 1.000 1150 862 25
10 50 28 1.000 788 739 20
11 33 39 1.000 809 734 19
12 25 10 1.000 674 921 21
13 25 18 1.000 982 1231 15
14 12 22 1.000 682 848 25
15 44 32 1.000 883 880 18
16 32 50 1.000 768 769 24
17 5 46 1.000 682 713 15
18 34 28 1.000 736 757 23
19 48 43 1.000 828 877 21
20 27 47 1.000 773 833 16
21 29 14 1.000 882 722 16
22 10 7 1.000 1148 1096 16
23 49 9 1.000 1146 1287 22
24 42 41 1.000 777 642 22
25 48 21 1.000 619 647 20
26 4 49 1.000 887 862 23
27 43 19 1.000 890 786 15
28 1 35 1.000 1080 1173 24
29 35 37 1.000 1171 959 19
30 31 15 1.000 925 1078 24
31 43 25 1.000 909 758 22
32 47 28 1.000 844 826 19
33 15 21 1.000 780 623 21
34 40 6 1.000 658 841 18
35 10 15 1.000 755 1013 17
36 2 22 1.000 1387 1193 22
37 14 15 1.000 712 952 24
38 38 29 1.000 754 682 15
39 16 19 1.000 880 907 20
40 48 29 1.000 912 712 24
41 38 47 1.000 965 544 17
42 11 26 1.000 842 940 19
43 14 18 1.000 1159 1124 25
44 46 6 1.000 826 818 15
45 41 19 1.000 752 820 22
46 26 20 1.000 888 891 17
47 38 39 1.000 657 814 18
48 35 11 1.000 1154 1230 23
49 24 36 1.000 993 747 24
50 40 49 1.000 725 810 18
51 27 22 1.000 926 870 23
52 14 35 1.000 831 1256 25
53 24 42 1.000 736 637 16
54 39 36 1.000 876 877 19
55 40 12 1.000 754 1060 24
56 27 31 1.000 946 735 15
57 33 4 1.000 806 812 22
58 30 31 1.000 811 838 24
59 26 18 1.000 1180 1206 17
60 47 49 1.000 615 678 16
61 7 15 1.000 726 919 25
62 1 17 1.000 841 841 24
63 45 8 1.000 914 709 15
64 26 49 1.000 787 801 23
65 27 21 1.000 835 778 25
66 6 50 1.000 781 660 18
67 27 2 1.000 847 667 23
68 36 16 1.000 761 613 21
69 42 25 1.000 832 706 25
70 13 38 1.000 781 811 25
71 21 29 1.000 721 827 19
72 28 10 1.000 574 878 15
