*Parameters
ProblemName RBWQN80A320C240W2MM_S8411
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 80
num_arcs 320
num_commodities 240
seed_num 8411
arc_span 2
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 52 26 1.000 842 924 18
2 72 29 1.000 1038 773 24
3 24 27 1.000 740 903 18
4 1 13 1.000 657 843 15
5 43 51 1.000 731 521 15
6 29 69 1.000 713 828 21
7 22 35 1.000 800 817 24
8 9 15 1.000 915 1116 19
9 33 53 1.000 857 790 17
10 48 76 1.000 718 748 20
11 30 54 1.000 786 863 19
12 58 36 1.000 924 821 18
13 61 37 1.000 1059 968 20
14 52 75 1.000 721 864 25
15 33 25 1.000 802 886 24
16 3 38 1.000 944 1007 25
17 31 25 1.000 945 592 20
18 61 18 1.000 680 953 22
19 7 31 1.000 1088 919 24
20 65 61 1.000 720 802 23
21 43 69 1.000 903 615 22
22 56 62 1.000 733 738 18
23 7 66 1.000 694 913 22
24 47 73 1.000 722 816 17
25 9 51 1.000 756 862 18
26 42 61 1.000 748 679 16
27 33 74 1.000 1067 795 22
28 14 79 1.000 740 702 15
29 62 10 1.000 661 521 17
30 19 52 1.000 776 857 25
31 78 27 1.000 926 724 18
32 6 75 1.000 679 791 16
33 47 10 1.000 896 736 15
34 51 6 1.000 802 942 16
35 51 73 1.000 577 613 20
36 75 79 1.000 829 828 16
37 27 34 1.000 1206 1069 21
38 52 44 1.000 802 893 19
39 33 72 1.000 901 960 25
40 75 70 1.000 703 792 18
41 61 21 1.000 826 802 20
42 38 61 1.000 760 804 19
43 56 38 1.000 728 958 19
44 22 55 1.000 981 698 17
45 15 2 1.000 905 629 21
46 63 5 1.000 780 919 22
47 25 40 1.000 733 979 22
48 15 79 1.000 771 754 17
49 57 61 1.000 661 620 17
50 52 3 1.000 698 772 16
51 57 63 1.000 750 693 16
52 35 4 1.000 731 930 19
53 75 24 1.000 772 817 25
54 51 67 1.000 808 670 21
55 52 60 1.000 779 736 17
56 71 6 1.000 827 954 23
57 33 48 1.000 694 953 23
58 12 71 1.000 816 711 20
59 34 55 1.000 725 737 18
60 77 62 1.000 749 681 15
61 67 71 1.000 767 785 17
62 75 51 1.000 654 787 18
63 28 59 1.000 831 624 20
64 41 36 1.000 827 888 20
65 7 19 1.000 784 1099 18
66 39 7 1.000 632 609 18
67 6 37 1.000 938 949 21
68 56 24 1.000 689 590 22
69 31 72 1.000 674 991 18
70 72 55 1.000 882 859 24
71 63 62 1.000 780 927 21
72 47 35 1.000 947 785 23
73 25 28 1.000 908 997 19
74 65 10 1.000 707 748 18
75 4 19 1.000 719 585 19
76 25 73 1.000 633 736 21
77 48 12 1.000 649 875 22
78 60 28 1.000 976 1112 22
79 23 63 1.000 794 792 18
80 32 72 1.000 795 771 21
81 6 44 1.000 917 785 15
82 79 24 1.000 828 852 21
83 26 35 1.000 700 790 16
84 50 27 1.000 958 1017 21
85 79 25 1.000 751 1013 18
86 77 6 1.000 903 808 17
87 36 31 1.000 1020 872 15
88 59 42 1.000 647 680 18
89 27 52 1.000 1016 827 21
90 68 35 1.000 601 636 15
91 56 74 1.000 734 912 21
92 30 41 1.000 796 930 18
93 31 27 1.000 869 779 18
94 72 48 1.000 726 885 20
95 28 45 1.000 900 810 21
96 72 47 1.000 726 845 17
97 42 55 1.000 833 671 20
98 52 59 1.000 729 547 18
99 23 70 1.000 711 637 20
100 67 73 1.000 615 656 19
101 3 35 1.000 707 874 18
102 29 40 1.000 866 981 22
103 54 6 1.000 1008 1147 15
104 51 22 1.000 801 1105 21
105 3 11 1.000 806 811 25
106 23 5 1.000 744 759 23
107 20 16 1.000 776 915 21
108 67 72 1.000 599 905 15
109 25 76 1.000 687 764 22
110 77 66 1.000 684 612 17
111 10 29 1.000 706 873 21
112 68 77 1.000 875 897 25
113 28 23 1.000 954 879 25
114 53 15 1.000 880 696 18
115 44 26 1.000 769 1161 19
116 10 51 1.000 677 546 18
117 25 47 1.000 691 797 19
118 56 8 1.000 659 903 23
119 13 67 1.000 613 725 21
120 22 5 1.000 745 998 23
121 42 15 1.000 776 923 16
122 66 30 1.000 915 762 16
123 38 76 1.000 706 810 19
124 70 78 1.000 714 815 19
125 19 75 1.000 812 728 15
126 45 26 1.000 798 839 22
127 37 8 1.000 724 705 17
128 23 21 1.000 609 815 18
129 15 26 1.000 988 907 24
130 30 23 1.000 759 936 23
131 69 66 1.000 493 627 15
132 3 74 1.000 939 938 24
133 20 57 1.000 703 935 22
134 61 35 1.000 869 718 17
