*Parameters
ProblemName RBWQN50A200C100W2MM_S7554
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 50
num_arcs 200
num_commodities 100
seed_num 7554
arc_span 2
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 16 47 1.000 798 563 24
2 44 7 1.000 663 546 21
3 49 4 1.000 591 744 16
4 9 40 1.000 626 905 25
5 26 37 1.000 707 866 25
6 18 2 1.000 823 853 17
7 32 41 1.000 704 682 23
8 9 50 1.000 616 844 15
9 43 25 1.000 662 750 23
10 39 21 1.000 728 621 17
11 20 1 1.000 794 744 23
12 29 36 1.000 649 865 25
13 47 26 1.000 867 991 16
14 19 23 1.000 646 781 20
15 28 41 1.000 632 768 20
16 8 12 1.000 702 934 22
17 4 37 1.000 892 822 24
18 45 35 1.000 743 714 15
19 18 17 1.000 699 619 17
20 1 30 1.000 555 802 19
21 20 7 1.000 693 724 23
22 28 48 1.000 660 698 17
23 13 24 1.000 570 722 25
24 1 24 1.000 596 775 16
25 13 14 1.000 723 795 24
26 15 41 1.000 823 633 16
27 42 27 1.000 621 566 24
28 29 21 1.000 906 735 22
29 5 1 1.000 925 531 25
30 48 20 1.000 937 683 22
31 3 14 1.000 794 920 16
32 35 38 1.000 759 378 18
33 49 38 1.000 511 574 23
34 33 35 1.000 812 531 23
35 36 30 1.000 697 728 20
36 13 4 1.000 556 937 24
37 7 9 1.000 791 562 16
38 31 13 1.000 730 534 17
39 19 16 1.000 661 728 15
40 50 43 1.000 1000 944 23
41 14 25 1.000 680 782 16
42 9 25 1.000 788 877 25
43 36 9 1.000 766 743 16
44 24 17 1.000 643 723 18
45 16 20 1.000 746 658 23
46 1 7 1.000 640 698 18
47 29 48 1.000 725 870 18
48 50 25 1.000 1048 786 15
49 33 40 1.000 531 727 23
50 4 19 1.000 957 534 15
51 35 11 1.000 808 505 23
52 39 45 1.000 669 928 16
53 27 41 1.000 811 624 25
54 9 4 1.000 827 870 18
55 36 11 1.000 769 802 25
56 27 20 1.000 740 693 25
57 49 12 1.000 550 756 18
58 46 7 1.000 503 660 24
59 43 34 1.000 592 538 19
60 8 11 1.000 787 733 23
61 24 25 1.000 732 726 20
62 40 25 1.000 580 732 15
63 16 8 1.000 789 586 25
64 50 36 1.000 837 915 17
65 48 5 1.000 908 663 24
66 9 3 1.000 917 874 18
67 18 22 1.000 564 770 24
68 17 3 1.000 950 834 25
69 41 6 1.000 794 672 15
70 25 10 1.000 581 642 19
71 25 39 1.000 698 493 15
72 21 18 1.000 659 617 22
73 31 39 1.000 686 584 23
74 31 37 1.000 773 685 24
75 1 39 1.000 514 824 21
76 21 35 1.000 645 705 15
77 6 33 1.000 628 634 23
78 13 40 1.000 440 745 22
79 12 27 1.000 663 688 19
80 14 22 1.000 764 493 18
81 28 8 1.000 617 731 20
82 25 32 1.000 571 773 20
83 23 18 1.000 860 603 15
84 7 13 1.000 557 734 20
85 46 2 1.000 827 803 20
86 34 41 1.000 792 637 23
87 24 21 1.000 736 779 19
88 24 10 1.000 675 581 15
89 47 19 1.000 917 778 24
90 50 3 1.000 1114 896 20
91 31 49 1.000 655 582 19
92 3 19 1.000 826 818 17
93 17 15 1.000 663 722 21
94 13 16 1.000 609 769 20
95 37 41 1.000 643 825 19
96 1 2 1.000 777 1050 24
97 21 4 1.000 559 846 16
98 46 41 1.000 778 548 15
99 19 27 1.000 479 760 18
100 41 4 1.000 721 857 17
*Arcs: Index fromNode toNode fixedCost variableCost Weight(s)
1 46 10 67 3 54 166
2 10 49 58 1 159 121
3 49 25 36 6 95 193
4 25 13 40 5 103 255
5 10 40 24 5 269 134
6 46 24 46 7 58 73
7 24 38 73 7 132 20
8 38 11 41 2 146 81
9 24 21 58 3 115 198
10 46 19 74 5 191 25
11 11 31 31 2 153 202
12 21 30 48 6 114 216
13 40 27 35 2 85 219
14 30 44 51 7 109 119
15 10 1 54 2 164 52
16 44 9 61 9 187 39
17 19 33 29 2 146 193
18 21 35 33 7 165 211
19 13 28 84 3 53 153
20 1 16 53 9 49 216
21 10 6 45 6 97 181
22 16 42 44 2 189 68
23 6 17 61 11 111 65
24 1 7 20 4 121 171
25 30 3 38 2 197 139
26 42 48 45 2 144 199
27 19 37 52 5 186 149
28 27 32 28 2 176 207
29 27 29 74 10 208 72
30 42 18 73 13 36 80
31 35 45 83 4 138 142
32 42 8 53 9 184 210
33 17 36 46 6 204 115
34 7 23 63 7 150 128
35 9 41 74 6 123 112
36 8 15 40 5 72 243
37 45 20 84 5 124 76
38 48 4 50 8 212 130
39 3 34 69 10 161 162
40 33 43 65 3 134 112
41 18 22 53 10 136 185
42 41 39 78 4 140 119
43 48 12 58 3 207 172
44 18 50 52 2 64 107
45 39 14 16 2 229 170
46 32 5 67 9 62 171
47 10 47 62 3 82 42
48 20 2 29 2 170 235
49 12 26 59 3 192 195
50 10 46 43 8 206 145
51 49 46 56 8 212 161
52 25 46 36 3 66 98
53 13 25 49 7 228 186
54 40 13 78 6 92 11
55 24 46 63 4 167 125
56 38 49 71 9 183 205
57 11 38 63 7 211 152
58 21 40 39 7 171 179
59 19 40 18 4 110 150
60 31 10 64 12 143 223
61 30 49 41 2 125 55
62 27 10 44 6 122 62
63 44 40 51 4 55 142
64 1 24 25 5 175 260
65 9 31 27 3 202 151
