*Parameters
ProblemName RBWQN70A280C210W2MM_S9630
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 70
num_arcs 280
num_commodities 210
seed_num 9630
arc_span 2
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 60 69 1.000 770 762 19
2 21 4 1.000 598 598 17
3 7 37 1.000 808 680 25
4 44 49 1.000 636 811 19
5 54 65 1.000 785 706 15
6 4 33 1.000 472 658 20
7 30 62 1.000 728 590 23
8 16 42 1.000 531 684 19
9 58 43 1.000 708 928 18
10 41 54 1.000 471 923 17
11 3 20 1.000 803 789 20
12 31 38 1.000 635 921 20
13 29 58 1.000 1038 973 16
14 63 64 1.000 757 782 15
15 21 25 1.000 656 695 18
16 28 63 1.000 713 588 23
17 30 29 1.000 499 644 23
18 59 67 1.000 565 631 21
19 27 68 1.000 634 801 18
20 23 65 1.000 751 732 22
21 10 47 1.000 917 862 18
22 17 60 1.000 792 779 25
23 41 53 1.000 776 783 20
24 29 65 1.000 1125 957 23
25 12 44 1.000 587 770 15
26 50 53 1.000 785 758 15
27 42 44 1.000 455 864 20
28 64 63 1.000 590 680 19
29 68 16 1.000 624 517 23
30 26 61 1.000 703 736 23
31 58 15 1.000 629 886 18
32 67 30 1.000 768 664 15
33 57 46 1.000 824 601 24
34 11 10 1.000 700 837 22
35 36 51 1.000 602 1080 17
36 65 68 1.000 643 622 18
37 57 19 1.000 795 675 21
38 42 22 1.000 678 543 22
39 66 60 1.000 767 608 24
40 30 10 1.000 612 792 19
41 6 29 1.000 982 667 23
42 42 67 1.000 524 635 18
43 2 41 1.000 657 699 16
44 3 50 1.000 831 1145 23
45 66 64 1.000 633 689 25
46 29 19 1.000 1087 899 17
47 29 53 1.000 1135 985 20
48 13 44 1.000 806 692 16
49 63 22 1.000 572 856 21
50 25 33 1.000 584 718 23
51 23 3 1.000 653 523 15
52 49 9 1.000 893 725 22
53 30 23 1.000 655 726 21
54 31 62 1.000 670 768 19
55 27 53 1.000 630 899 15
56 61 4 1.000 680 562 18
57 17 25 1.000 745 701 23
58 48 65 1.000 644 750 23
59 39 19 1.000 733 613 15
60 40 50 1.000 881 1085 25
61 37 69 1.000 755 802 20
62 39 30 1.000 673 744 22
63 7 1 1.000 744 663 18
64 13 18 1.000 775 515 20
65 12 57 1.000 641 611 15
66 19 17 1.000 742 646 16
67 28 55 1.000 873 571 20
68 49 44 1.000 736 741 18
69 13 19 1.000 577 878 22
70 70 47 1.000 991 752 18
71 32 46 1.000 629 782 16
72 31 36 1.000 1035 901 21
73 25 53 1.000 557 852 17
74 66 34 1.000 890 720 20
75 42 27 1.000 793 440 20
76 33 49 1.000 758 1012 25
77 24 46 1.000 628 734 18
78 68 21 1.000 607 618 16
79 50 65 1.000 957 681 24
80 1 55 1.000 850 723 24
81 56 49 1.000 838 749 15
82 15 9 1.000 827 843 17
83 70 58 1.000 885 875 24
84 43 13 1.000 601 1067 17
85 68 60 1.000 859 557 20
