*Parameters
ProblemName RBWQN50A200C200W2MM_S1025
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 50
num_arcs 200
num_commodities 200
seed_num 1025
arc_span 2
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 48 17 1.000 762 971 19
2 14 37 1.000 640 737 17
3 32 6 1.000 959 1165 16
4 48 4 1.000 693 854 23
5 49 17 1.000 744 811 16
6 21 18 1.000 779 899 24
7 8 42 1.000 873 1052 22
8 27 30 1.000 852 945 17
9 50 8 1.000 759 892 24
10 34 27 1.000 654 770 23
11 48 9 1.000 601 924 17
12 43 3 1.000 878 700 19
13 9 26 1.000 553 719 18
14 34 26 1.000 565 796 22
15 13 46 1.000 696 875 20
16 17 26 1.000 776 752 15
17 28 44 1.000 611 840 19
18 13 7 1.000 614 710 20
19 22 4 1.000 717 887 22
20 5 49 1.000 745 1016 24
21 20 18 1.000 668 584 17
22 14 50 1.000 934 727 23
23 29 5 1.000 586 1156 22
24 2 6 1.000 1031 882 16
25 47 29 1.000 618 832 19
26 5 25 1.000 537 1015 18
27 21 43 1.000 740 1012 18
28 10 32 1.000 805 769 22
29 42 36 1.000 728 898 25
30 35 25 1.000 677 859 16
31 37 9 1.000 534 695 19
32 26 42 1.000 941 886 23
33 42 10 1.000 1146 644 19
34 28 1 1.000 462 885 22
35 36 42 1.000 1061 1325 21
36 22 26 1.000 704 937 21
37 28 31 1.000 885 664 16
38 7 42 1.000 876 984 17
39 5 11 1.000 691 902 24
40 48 14 1.000 628 981 15
41 41 35 1.000 820 1121 22
42 30 47 1.000 998 572 23
43 27 40 1.000 958 818 16
44 35 21 1.000 690 913 24
45 21 32 1.000 910 786 24
46 37 26 1.000 421 802 16
47 29 31 1.000 901 712 19
48 36 24 1.000 1110 1094 22
49 27 14 1.000 528 1038 17
50 40 24 1.000 1101 822 23
51 26 19 1.000 863 810 25
52 46 18 1.000 572 610 25
53 7 29 1.000 734 1018 23
54 14 44 1.000 674 960 22
55 27 20 1.000 716 908 21
56 13 22 1.000 725 750 25
57 36 48 1.000 1347 880 19
58 9 38 1.000 741 816 21
59 28 4 1.000 533 812 21
60 50 37 1.000 860 695 23
61 2 46 1.000 797 1095 17
62 25 48 1.000 957 1333 24
63 39 14 1.000 900 603 19
64 29 1 1.000 727 649 23
65 19 11 1.000 658 694 15
66 10 34 1.000 645 995 22
67 38 18 1.000 610 705 18
68 17 48 1.000 871 819 17
69 46 15 1.000 644 630 21
70 43 19 1.000 574 1052 16
71 47 49 1.000 650 897 19
72 11 9 1.000 527 671 16
73 27 50 1.000 852 831 25
74 14 16 1.000 1039 577 24
75 13 6 1.000 568 952 16
76 27 28 1.000 773 744 18
77 12 28 1.000 668 577 16
78 19 17 1.000 901 767 20
79 17 46 1.000 815 1048 19
80 12 13 1.000 586 684 20
81 26 34 1.000 759 686 19
82 40 27 1.000 834 938 20
83 30 1 1.000 579 596 15
84 29 14 1.000 545 825 16
85 20 37 1.000 438 720 17
86 38 50 1.000 552 937 24
87 31 36 1.000 632 1048 21
88 10 4 1.000 791 713 21
89 16 10 1.000 929 723 18
90 15 16 1.000 706 672 19
91 28 29 1.000 732 648 18
92 37 31 1.000 755 767 23
93 25 47 1.000 1047 1205 21
94 46 27 1.000 588 599 17
95 42 3 1.000 764 845 18
96 49 22 1.000 867 666 24
97 5 24 1.000 871 876 24
98 35 2 1.000 921 682 22
99 22 39 1.000 800 801 19
100 50 20 1.000 973 597 18
101 7 36 1.000 745 856 15
102 34 8 1.000 758 829 25
103 8 43 1.000 756 899 17
104 50 45 1.000 578 745 16
105 19 32 1.000 787 663 15
106 14 29 1.000 1047 632 21
107 30 40 1.000 776 772 23
108 49 43 1.000 820 726 21
109 37 10 1.000 757 818 19
110 10 18 1.000 845 664 18
111 32 20 1.000 1019 1052 20
112 23 49 1.000 671 857 15
113 50 30 1.000 913 713 17
114 21 41 1.000 692 1101 17
115 44 29 1.000 657 807 22
116 4 46 1.000 617 801 18
117 47 28 1.000 605 775 19
118 40 17 1.000 989 851 15
119 2 40 1.000 885 1080 19
120 5 14 1.000 671 986 21
121 22 23 1.000 890 835 21
122 38 16 1.000 641 675 17
123 26 17 1.000 985 852 25
124 33 26 1.000 759 777 17
125 20 6 1.000 753 819 19
126 3 42 1.000 943 758 15
127 36 41 1.000 1063 1145 17
128 28 43 1.000 793 667 21
129 49 12 1.000 816 739 16
130 24 39 1.000 640 936 22
131 21 7 1.000 710 904 19
132 26 21 1.000 674 822 18
133 36 9 1.000 793 1251 23
134 30 17 1.000 673 783 23
135 34 4 1.000 690 627 20
136 21 11 1.000 552 1178 21
137 14 48 1.000 981 741 18
138 46 11 1.000 696 381 16
139 11 12 1.000 744 617 17
140 43 16 1.000 764 813 20
141 12 39 1.000 644 758 24
142 16 50 1.000 836 753 21
143 10 3 1.000 733 858 18
144 15 22 1.000 736 689 22
145 46 13 1.000 677 444 17
146 5 17 1.000 776 924 15
147 23 17 1.000 571 988 17
148 1 13 1.000 579 749 16
149 26 11 1.000 707 835 25
150 4 42 1.000 714 937 24
151 13 48 1.000 713 734 16
152 24 32 1.000 776 727 16
153 31 42 1.000 933 1024 19
154 21 2 1.000 835 832 19
155 27 34 1.000 791 653 16
156 47 27 1.000 677 808 19
157 17 5 1.000 988 1002 24
158 41 17 1.000 924 885 24
159 44 30 1.000 691 892 15
160 3 40 1.000 862 896 24
161 27 25 1.000 696 824 15
162 3 6 1.000 949 645 18
163 20 29 1.000 683 675 15
164 50 38 1.000 879 720 19
165 19 15 1.000 815 739 22
166 13 43 1.000 594 926 25
167 17 16 1.000 839 777 25
168 46 36 1.000 626 566 15
169 36 8 1.000 1063 1105 20
170 27 8 1.000 923 947 25
171 43 22 1.000 737 731 16
172 38 25 1.000 655 762 24
173 35 16 1.000 853 711 21
174 47 21 1.000 729 727 17
175 29 21 1.000 678 817 22
176 44 49 1.000 701 817 20
177 3 47 1.000 1060 620 19
178 50 42 1.000 92 176 15
179 11 37 1.000 591 659 23
180 31 43 1.000 866 812 19
181 27 24 1.000 855 898 21
182 44 4 1.000 525 697 15
183 21 22 1.000 886 859 21
184 35 43 1.000 782 799 19
185 12 35 1.000 599 998 19
186 35 14 1.000 540 898 15
187 17 22 1.000 815 741 17
188 49 3 1.000 793 790 15
189 50 2 1.000 760 750 22
190 46 40 1.000 591 860 22
191 37 17 1.000 900 594 18
192 14 45 1.000 781 821 16
193 26 23 1.000 740 842 24
194 5 44 1.000 782 858 20
195 17 10 1.000 973 796 15
196 47 45 1.000 479 823 25
197 23 12 1.000 707 754 16
198 20 45 1.000 524 803 22
199 36 3 1.000 939 1235 23
200 12 31 1.000 875 795 24
*Arcs: Index fromNode toNode fixedCost variableCost Weight(s)
1 11 4 62 3 166 85
2 4 9 59 8 84 163
3 9 37 11 1 152 260
4 4 34 58 11 62 82
5 11 23 58 9 71 43
6 11 18 52 2 167 189
7 23 46 59 2 126 170
8 23 21 54 7 213 175
9 34 7 59 8 146 176
10 37 22 42 2 239 173
11 22 50 22 4 90 280
12 37 13 46 8 147 120
13 46 30 49 5 100 170
14 13 45 46 5 60 195
15 11 8 44 7 60 168
16 30 47 77 2 75 159
17 34 49 36 2 79 141
18 46 14 40 6 244 200
19 18 12 80 12 177 42
20 34 20 37 8 177 131
21 30 38 47 7 215 103
22 49 19 49 3 55 60
23 19 28 59 4 230 69
24 19 16 59 10 81 201
25 12 10 36 1 152 81
26 12 24 31 2 172 170
27 37 15 57 8 186 176
28 8 40 14 1 213 94
