*Parameters
ProblemName RBWQN50A200C200W2MM_S7098
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 50
num_arcs 200
num_commodities 200
seed_num 7098
arc_span 2
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 36 19 1.000 790 489 22
2 36 37 1.000 584 693 18
3 42 20 1.000 581 1007 17
4 5 38 1.000 527 683 16
5 35 33 1.000 806 840 21
6 21 29 1.000 621 830 18
7 41 11 1.000 715 828 25
8 30 24 1.000 407 665 20
9 15 17 1.000 994 916 22
10 14 20 1.000 605 914 19
11 32 39 1.000 670 746 25
12 30 3 1.000 603 633 18
13 25 24 1.000 471 681 22
14 33 41 1.000 588 463 21
15 44 49 1.000 474 664 19
16 29 12 1.000 690 710 17
17 15 43 1.000 718 1245 16
18 28 27 1.000 708 699 21
19 6 35 1.000 833 867 17
20 20 28 1.000 721 817 24
21 49 26 1.000 802 894 17
22 49 14 1.000 623 692 23
23 9 48 1.000 440 687 15
24 2 20 1.000 873 965 25
25 20 40 1.000 736 924 21
26 16 34 1.000 541 882 17
27 29 20 1.000 592 1027 20
28 26 7 1.000 749 823 16
29 29 23 1.000 608 806 21
30 40 47 1.000 710 732 23
31 7 27 1.000 874 932 24
32 3 2 1.000 798 898 24
33 47 21 1.000 683 851 25
34 2 28 1.000 707 978 15
35 46 5 1.000 871 704 19
36 47 34 1.000 542 983 18
37 32 19 1.000 733 535 21
38 13 20 1.000 710 967 24
39 11 22 1.000 783 676 22
40 10 44 1.000 543 473 15
41 29 43 1.000 742 810 19
42 40 38 1.000 549 995 18
43 43 35 1.000 944 1218 25
44 10 1 1.000 663 615 15
45 12 28 1.000 665 593 22
46 29 32 1.000 486 814 18
47 24 31 1.000 549 925 20
48 19 41 1.000 594 791 18
49 36 30 1.000 578 700 21
50 22 11 1.000 697 761 24
51 46 13 1.000 959 742 16
52 13 36 1.000 776 746 19
53 43 6 1.000 714 980 20
54 29 13 1.000 681 813 22
55 8 44 1.000 588 938 15
56 3 14 1.000 594 804 17
57 13 10 1.000 713 874 22
58 16 31 1.000 466 907 20
59 30 46 1.000 963 645 17
60 30 23 1.000 617 601 17
61 13 41 1.000 591 758 24
62 12 41 1.000 536 721 23
63 5 10 1.000 617 837 24
64 2 25 1.000 714 718 16
65 35 31 1.000 560 850 23
66 10 16 1.000 442 646 18
67 44 33 1.000 673 788 17
68 38 34 1.000 662 963 25
69 45 33 1.000 677 796 17
70 29 10 1.000 765 752 16
71 33 29 1.000 719 862 22
72 39 46 1.000 908 905 24
73 7 48 1.000 836 988 22
74 14 39 1.000 695 794 25
75 6 41 1.000 552 623 19
76 8 7 1.000 710 1017 19
77 30 26 1.000 777 714 19
78 21 25 1.000 422 610 19
79 26 22 1.000 783 822 21
80 1 49 1.000 683 988 23
81 50 4 1.000 664 624 20
82 27 11 1.000 637 645 22
83 50 35 1.000 982 864 18
84 15 2 1.000 844 998 22
85 10 21 1.000 457 563 15
86 13 6 1.000 637 921 19
87 47 45 1.000 647 951 25
88 50 42 1.000 729 764 16
89 24 41 1.000 807 1059 24
90 45 34 1.000 794 1008 24
91 15 26 1.000 898 1136 17
92 16 11 1.000 612 657 19
93 48 22 1.000 815 763 23
94 32 42 1.000 655 857 18
95 16 1 1.000 584 854 17
96 22 12 1.000 584 856 15
97 25 45 1.000 621 919 22
98 45 19 1.000 684 822 17
99 44 34 1.000 473 859 20
100 44 46 1.000 575 971 15
101 37 24 1.000 563 713 25
102 37 7 1.000 585 998 23
103 6 33 1.000 428 802 21
104 47 46 1.000 897 942 21
105 12 17 1.000 604 748 17
106 8 30 1.000 701 983 22
107 43 39 1.000 1020 802 23
108 6 10 1.000 800 669 23
109 39 2 1.000 739 620 16
110 21 33 1.000 445 748 22
111 42 48 1.000 725 619 19
112 18 11 1.000 738 508 21
113 18 19 1.000 511 754 18
114 32 12 1.000 586 629 19
115 5 15 1.000 426 721 18
116 43 49 1.000 685 982 16
117 28 11 1.000 642 683 16
118 45 8 1.000 881 680 24
119 39 33 1.000 654 757 22
120 16 33 1.000 511 743 18
121 13 34 1.000 686 876 21
122 48 44 1.000 647 822 24
123 4 50 1.000 754 878 18
124 42 13 1.000 749 669 15
125 49 45 1.000 739 956 22
126 45 41 1.000 782 817 25
127 42 25 1.000 528 719 22
128 2 1 1.000 716 903 15
129 43 11 1.000 855 728 24
130 36 8 1.000 691 574 22
131 2 32 1.000 730 889 24
132 11 19 1.000 630 713 17
133 50 39 1.000 710 699 15
134 34 1 1.000 707 641 15
135 29 36 1.000 697 824 18
136 24 19 1.000 730 699 20
137 38 6 1.000 831 754 22
138 2 8 1.000 623 929 21
139 13 1 1.000 816 679 15
140 11 35 1.000 829 1040 23
141 12 45 1.000 676 841 25
142 26 24 1.000 600 741 19
143 16 41 1.000 524 732 23
144 43 14 1.000 572 792 18
145 44 23 1.000 575 507 20
146 24 8 1.000 660 762 18
147 10 47 1.000 574 584 22
148 19 25 1.000 557 718 16
149 17 25 1.000 479 918 24
150 34 30 1.000 716 584 20
151 45 43 1.000 695 1066 21
152 41 39 1.000 718 918 15
153 41 20 1.000 683 1019 15
154 50 48 1.000 659 622 23
155 36 16 1.000 513 652 17
156 35 34 1.000 885 566 20
157 45 46 1.000 1060 912 15
158 42 50 1.000 875 556 15
159 30 49 1.000 622 740 20
160 31 12 1.000 636 798 19
161 13 23 1.000 752 742 15
162 18 37 1.000 759 619 22
163 50 44 1.000 574 666 18
164 50 15 1.000 503 765 18
165 25 49 1.000 557 868 16
166 13 21 1.000 632 624 16
167 11 8 1.000 655 750 23
168 36 46 1.000 838 977 21
169 44 18 1.000 559 694 19
170 5 1 1.000 761 671 23
171 26 30 1.000 721 918 16
172 3 43 1.000 791 960 21
173 11 47 1.000 618 678 15
174 24 15 1.000 587 852 21
175 26 12 1.000 880 732 20
176 9 50 1.000 645 673 22
177 40 21 1.000 597 748 24
178 7 32 1.000 946 827 22
179 32 21 1.000 528 457 15
180 6 36 1.000 766 664 17
181 49 39 1.000 894 772 18
182 5 20 1.000 475 1013 20
183 34 48 1.000 574 699 24
184 9 41 1.000 535 554 16
185 15 6 1.000 849 989 17
186 5 8 1.000 606 633 22
187 29 34 1.000 576 984 22
188 35 3 1.000 713 568 20
189 17 50 1.000 857 750 23
190 41 16 1.000 821 751 25
191 18 9 1.000 644 695 17
192 19 35 1.000 1007 1017 24
193 14 12 1.000 746 608 18
194 47 30 1.000 646 813 24
195 16 42 1.000 794 799 25
196 49 42 1.000 967 889 20
197 5 27 1.000 480 704 24
198 27 22 1.000 623 701 25
199 30 27 1.000 596 647 19
200 5 18 1.000 501 782 21
*Arcs: Index fromNode toNode fixedCost variableCost Weight(s)
1 44 33 39 3 85 66
2 44 21 71 14 116 51
3 33 36 38 5 138 97
4 21 14 48 10 145 56
5 44 25 66 13 82 168
6 36 23 60 12 218 96
7 21 16 25 3 98 149
8 33 32 53 8 77 209
9 36 6 12 2 294 114
10 6 28 44 4 99 112
11 23 41 12 3 293 168
12 33 9 38 4 123 85
13 36 30 62 9 237 121
14 23 2 32 6 151 255
15 6 12 15 3 117 133
16 44 18 30 3 145 114
17 25 39 50 3 141 243
18 33 19 68 8 117 56
19 21 11 44 1 185 116
20 28 27 22 4 109 188
21 18 22 52 1 218 107
22 16 38 54 2 137 68
23 21 4 35 2 264 142
24 16 47 70 1 76 47
25 12 24 12 1 194 267
26 9 5 47 8 196 140
27 6 42 36 2 154 93
28 11 13 86 9 151 126
29 5 40 45 5 166 232
30 28 1 37 5 107 141
31 40 15 49 6 88 163
32 44 10 69 6 205 182
33 36 46 47 6 220 123
34 12 43 32 5 200 250
35 14 50 53 6 186 150
36 25 34 58 5 95 214
37 34 49 56 4 235 161
38 50 17 40 2 69 71
39 16 45 36 2 74 242
40 4 8 46 5 208 184
41 43 37 44 3 202 69
42 42 29 74 12 166 76
43 46 35 21 3 242 161
44 25 31 79 10 40 207
45 45 26 52 3 201 125
46 8 3 34 5 148 173
47 31 20 44 4 115 214
48 9 7 28 5 171 275
49 31 48 52 2 60 131
50 33 44 58 11 238 184
51 21 44 36 3 77 188
52 36 21 60 4 49 149
53 14 21 53 5 122 102
54 25 14 46 6 69 173
55 23 21 60 4 95 62
56 16 14 84 15 34 148
57 32 44 59 8 120 107
58 6 44 9 2 294 253
59 28 16 60 9 172 43
60 41 14 79 15 141 103
61 9 44 40 7 211 175
62 30 44 29 5 108 163
63 2 28 39 5 213 232
64 12 21 76 6 75 147
65 18 30 31 3 155 137
66 39 44 30 3 115 160
67 19 44 15 1 252 207
68 11 32 64 5 62 200
69 27 32 44 9 127 135
70 22 30 45 5 111 71
71 38 28 64 7 64 49
72 4 32 55 5 156 190
73 47 23 66 5 89 167
74 24 27 57 7 65 179
75 5 18 74 11 46 108
76 42 11 52 6 139 202
77 13 23 77 6 188 94
78 40 11 63 3 64 134
79 1 39 31 3 253 91
80 15 47 50 8 144 246
81 10 4 26 3 95 208
82 46 40 38 4 157 143
83 43 46 40 5 156 224
84 50 44 36 7 124 234
85 34 38 52 4 227 181
86 49 12 14 3 160 127
87 17 5 37 4 95 194
88 45 22 65 2 119 211
89 8 24 35 6 97 187
90 37 32 72 4 178 112
91 29 38 57 7 166 147
92 35 23 17 3 153 285
93 31 19 66 6 106 111
94 26 41 36 3 244 169
95 3 40 72 2 99 175
96 20 49 60 2 58 180
97 7 22 33 3 176 194
98 48 47 36 3 96 170
99 19 24 61 5 197 173
100 3 15 46 4 79 66
101 10 33 91 15 15 30
102 18 24 36 6 180 149
103 19 3 34 4 148 253
104 40 35 41 7 219 218
105 37 20 24 3 89 278
106 12 10 81 14 172 197
107 44 11 50 7 162 201
108 5 25 47 5 106 167
109 32 11 50 9 204 233
110 44 2 53 2 166 64
111 21 48 36 3 76 251
112 28 4 75 5 197 212
113 21 28 61 10 56 130
114 47 12 32 4 77 150
115 23 30 39 2 214 209
116 30 11 44 9 166 116
117 42 5 52 5 136 98
118 9 49 34 2 81 254
119 19 29 45 7 251 144
120 50 16 67 3 182 224
121 3 37 27 5 125 276
122 17 25 31 2 212 182
123 21 3 70 8 109 184
124 18 26 48 2 112 241
125 34 9 65 12 82 48
126 24 7 29 5 177 207
127 30 8 41 5 74 123
128 22 18 41 8 215 244
129 24 22 41 4 228 134
130 29 9 47 5 121 177
131 11 18 31 6 154 263
132 32 6 30 1 133 114
133 36 45 46 4 69 185
134 14 27 41 7 225 141
135 18 33 36 6 172 110
136 6 45 42 2 171 245
137 33 25 80 7 17 70
138 33 5 38 7 193 88
139 49 8 34 2 160 117
140 36 24 43 3 133 146
141 5 23 88 15 36 70
142 6 25 39 5 204 68
143 18 40 37 2 193 227
144 20 19 57 6 108 138
145 23 12 31 6 127 254
146 31 3 53 7 225 186
147 26 31 15 2 127 137
148 6 17 44 1 154 82
149 35 33 58 5 154 73
150 9 3 52 6 94 80
151 17 8 24 3 242 148
152 32 50 27 4 242 157
153 8 15 39 7 67 125
154 9 37 52 2 141 174
155 45 49 45 6 174 80
156 30 27 31 3 273 117
157 49 42 32 4 97 141
158 31 30 71 10 181 201
159 40 38 45 3 141 235
160 46 13 94 15 167 144
161 13 43 78 4 97 131
162 32 49 30 1 128 195
163 41 7 34 7 81 199
164 1 22 37 4 103 209
165 34 43 33 3 136 200
166 25 48 70 13 166 153
167 40 2 36 4 211 184
168 12 8 77 2 78 166
169 29 47 48 8 63 122
170 9 33 39 6 187 221
171 25 4 33 5 109 209
172 9 12 83 11 187 126
173 34 16 34 3 270 104
174 32 14 16 2 130 156
175 43 47 63 2 158 174
176 48 25 77 7 196 139
177 28 6 23 5 279 256
178 31 28 48 4 220 220
179 38 25 56 5 128 132
180 50 14 34 3 85 141
181 24 41 40 2 77 90
182 39 13 32 5 237 83
183 3 8 23 3 123 106
184 13 17 61 3 154 210
185 21 37 67 5 211 155
186 2 38 64 6 77 164
187 33 18 53 4 83 177
188 27 44 58 4 60 218
189 30 19 18 3 230 240
190 13 18 41 2 79 232
191 50 37 78 6 169 101
192 27 25 57 8 98 222
193 32 13 26 3 98 215
194 1 48 63 7 222 206
195 9 23 77 4 162 35
196 26 20 48 8 63 200
197 14 24 36 3 114 153
198 6 43 39 6 253 174
199 21 24 78 4 26 59
200 18 15 15 2 235 182
